"","subid","subage","experiment","trial","agent","phase","slide","distribution","target1","target2","target3","item_l","item_m","item_r","correctItem","pick","pickPos","pickCat","correct_item","correct_target1","correct_target2","correct_target3","lastInputCat","same_lastInput"
"35","180918_2","4","distribution_kids_simple",1,"Pig","test","choice","c(6, 0, 0)","vehicles","mammals","clothes","bus","shoe","cow",NA,"cow","item_r","mammals",NA,0,1,0,"vehicles",0
"36","180918_2","4","distribution_kids_simple",2,"Bunny","training","1","c(6, 0, 0)","mammals","clothes","fruits","orange","cow","shirt","cow","cow","item_m","mammals",1,NA,NA,NA,NA,NA
"37","180918_2","4","distribution_kids_simple",2,"Bunny","training","2","c(6, 0, 0)","mammals","clothes","fruits","melon","cat","skirt","cat","cat","item_m","mammals",1,NA,NA,NA,NA,NA
"38","180918_2","4","distribution_kids_simple",2,"Bunny","training","3","c(6, 0, 0)","mammals","clothes","fruits","strawberry","elephant","dress","elephant","elephant","item_m","mammals",1,NA,NA,NA,NA,NA
"39","180918_2","4","distribution_kids_simple",2,"Bunny","training","4","c(6, 0, 0)","mammals","clothes","fruits","horse","cherry","hat","horse","horse","item_l","mammals",1,NA,NA,NA,NA,NA
"40","180918_2","4","distribution_kids_simple",2,"Bunny","training","5","c(6, 0, 0)","mammals","clothes","fruits","apple","shoe","dog","dog","dog","item_r","mammals",1,NA,NA,NA,NA,NA
"41","180918_2","4","distribution_kids_simple",2,"Bunny","training","6","c(6, 0, 0)","mammals","clothes","fruits","pineapple","sock","bear","bear","bear","item_r","mammals",1,NA,NA,NA,NA,NA
"42","180918_2","4","distribution_kids_simple",2,"Bunny","test","choice","c(6, 0, 0)","mammals","clothes","fruits","monkey","banana","jacket",NA,"jacket","item_r","clothes",NA,0,1,0,"mammals",0
"43","180918_2","4","distribution_kids_simple",3,"Tiger","training","1","c(6, 0, 0)","clothes","fruits","vehicles","airplane","shoe","pineapple","shoe","shoe","item_m","clothes",1,NA,NA,NA,NA,NA
"44","180918_2","4","distribution_kids_simple",3,"Tiger","training","2","c(6, 0, 0)","clothes","fruits","vehicles","banana","boat","dress","dress","dress","item_r","clothes",1,NA,NA,NA,NA,NA
"45","180918_2","4","distribution_kids_simple",3,"Tiger","training","3","c(6, 0, 0)","clothes","fruits","vehicles","strawberry","motorbike","shirt","shirt","shirt","item_r","clothes",1,NA,NA,NA,NA,NA
"46","180918_2","4","distribution_kids_simple",3,"Tiger","training","4","c(6, 0, 0)","clothes","fruits","vehicles","truck","melon","jacket","jacket","jacket","item_r","clothes",1,NA,NA,NA,NA,NA
"47","180918_2","4","distribution_kids_simple",3,"Tiger","training","5","c(6, 0, 0)","clothes","fruits","vehicles","skirt","orange","bus","skirt","skirt","item_l","clothes",1,NA,NA,NA,NA,NA
"48","180918_2","4","distribution_kids_simple",3,"Tiger","training","6","c(6, 0, 0)","clothes","fruits","vehicles","apple","car","hat","hat","hat","item_r","clothes",1,NA,NA,NA,NA,NA
"49","180918_2","4","distribution_kids_simple",3,"Tiger","test","choice","c(6, 0, 0)","clothes","fruits","vehicles","sock","train","cherry",NA,"cherry","item_r","fruits",NA,0,1,0,"clothes",0
"50","180918_2","4","distribution_kids_simple",4,"Mouse","training","1","c(6, 0, 0)","fruits","vehicles","mammals","train","pineapple","cat","pineapple","pineapple","item_m","fruits",1,NA,NA,NA,NA,NA
"51","180918_2","4","distribution_kids_simple",4,"Mouse","training","2","c(6, 0, 0)","fruits","vehicles","mammals","truck","banana","elephant","banana","banana","item_m","fruits",1,NA,NA,NA,NA,NA
"52","180918_2","4","distribution_kids_simple",4,"Mouse","training","3","c(6, 0, 0)","fruits","vehicles","mammals","horse","boat","apple","apple","apple","item_r","fruits",1,NA,NA,NA,NA,NA
"53","180918_2","4","distribution_kids_simple",4,"Mouse","training","4","c(6, 0, 0)","fruits","vehicles","mammals","bus","melon","dog","melon","melon","item_m","fruits",1,NA,NA,NA,NA,NA
"54","180918_2","4","distribution_kids_simple",4,"Mouse","training","5","c(6, 0, 0)","fruits","vehicles","mammals","cow","cherry","car","cherry","cherry","item_m","fruits",1,NA,NA,NA,NA,NA
"55","180918_2","4","distribution_kids_simple",4,"Mouse","training","6","c(6, 0, 0)","fruits","vehicles","mammals","strawberry","airplane","monkey","strawberry","strawberry","item_l","fruits",1,NA,NA,NA,NA,NA
"56","180918_2","4","distribution_kids_simple",4,"Mouse","test","choice","c(6, 0, 0)","fruits","vehicles","mammals","motorbike","bear","orange",NA,"orange","item_r","fruits",NA,1,0,0,"fruits",1
"57","180918_3","4","distribution_kids_simple",1,"Mouse","training","1","c(6, 0, 0)","mammals","clothes","vehicles","cow","shirt","car","cow","cow","item_l","mammals",1,NA,NA,NA,NA,NA
"58","180918_3","4","distribution_kids_simple",1,"Mouse","training","2","c(6, 0, 0)","mammals","clothes","vehicles","airplane","sock","bear","bear","bear","item_r","mammals",1,NA,NA,NA,NA,NA
"59","180918_3","4","distribution_kids_simple",1,"Mouse","training","3","c(6, 0, 0)","mammals","clothes","vehicles","boat","skirt","horse","horse","horse","item_r","mammals",1,NA,NA,NA,NA,NA
"60","180918_3","4","distribution_kids_simple",1,"Mouse","training","4","c(6, 0, 0)","mammals","clothes","vehicles","monkey","motorbike","hat","monkey","monkey","item_l","mammals",1,NA,NA,NA,NA,NA
"61","180918_3","4","distribution_kids_simple",1,"Mouse","training","5","c(6, 0, 0)","mammals","clothes","vehicles","jacket","bus","cat","cat","cat","item_r","mammals",1,NA,NA,NA,NA,NA
"62","180918_3","4","distribution_kids_simple",1,"Mouse","training","6","c(6, 0, 0)","mammals","clothes","vehicles","train","dress","elephant","elephant","elephant","item_r","mammals",1,NA,NA,NA,NA,NA
"63","180918_3","4","distribution_kids_simple",1,"Mouse","test","choice","c(6, 0, 0)","mammals","clothes","vehicles","shoe","dog","truck",NA,"dog","item_m","mammals",NA,1,0,0,"mammals",1
"64","180918_3","4","distribution_kids_simple",2,"Tiger","training","1","c(6, 0, 0)","clothes","vehicles","fruits","pineapple","sock","car","sock","sock","item_m","clothes",1,NA,NA,NA,NA,NA
"65","180918_3","4","distribution_kids_simple",2,"Tiger","training","2","c(6, 0, 0)","clothes","vehicles","fruits","banana","airplane","jacket","jacket","jacket","item_r","clothes",1,NA,NA,NA,NA,NA
"66","180918_3","4","distribution_kids_simple",2,"Tiger","training","3","c(6, 0, 0)","clothes","vehicles","fruits","apple","shirt","bus","shirt","shirt","item_m","clothes",1,NA,NA,NA,NA,NA
"67","180918_3","4","distribution_kids_simple",2,"Tiger","training","4","c(6, 0, 0)","clothes","vehicles","fruits","dress","orange","truck","dress","dress","item_l","clothes",1,NA,NA,NA,NA,NA
"68","180918_3","4","distribution_kids_simple",2,"Tiger","training","5","c(6, 0, 0)","clothes","vehicles","fruits","strawberry","hat","boat","hat","hat","item_m","clothes",1,NA,NA,NA,NA,NA
"69","180918_3","4","distribution_kids_simple",2,"Tiger","training","6","c(6, 0, 0)","clothes","vehicles","fruits","cherry","motorbike","skirt","skirt","skirt","item_r","clothes",1,NA,NA,NA,NA,NA
"70","180918_3","4","distribution_kids_simple",2,"Tiger","test","choice","c(6, 0, 0)","clothes","vehicles","fruits","shoe","train","melon",NA,"shoe","item_l","clothes",NA,1,0,0,"clothes",1
"71","180918_3","4","distribution_kids_simple",3,"Pig","training","1","c(6, 0, 0)","vehicles","fruits","mammals","train","apple","cat","train","train","item_l","vehicles",1,NA,NA,NA,NA,NA
"72","180918_3","4","distribution_kids_simple",3,"Pig","training","2","c(6, 0, 0)","vehicles","fruits","mammals","horse","motorbike","banana","motorbike","motorbike","item_m","vehicles",1,NA,NA,NA,NA,NA
"73","180918_3","4","distribution_kids_simple",3,"Pig","training","3","c(6, 0, 0)","vehicles","fruits","mammals","monkey","car","melon","car","car","item_m","vehicles",1,NA,NA,NA,NA,NA
"74","180918_3","4","distribution_kids_simple",3,"Pig","training","4","c(6, 0, 0)","vehicles","fruits","mammals","truck","strawberry","dog","truck","truck","item_l","vehicles",1,NA,NA,NA,NA,NA
"75","180918_3","4","distribution_kids_simple",3,"Pig","training","5","c(6, 0, 0)","vehicles","fruits","mammals","cow","bus","cherry","bus","bus","item_m","vehicles",1,NA,NA,NA,NA,NA
"76","180918_3","4","distribution_kids_simple",3,"Pig","training","6","c(6, 0, 0)","vehicles","fruits","mammals","airplane","elephant","pineapple","airplane","airplane","item_l","vehicles",1,NA,NA,NA,NA,NA
"77","180918_3","4","distribution_kids_simple",3,"Pig","test","choice","c(6, 0, 0)","vehicles","fruits","mammals","bear","boat","orange",NA,"bear","item_l","mammals",NA,0,0,1,"vehicles",0
"78","180918_3","4","distribution_kids_simple",4,"Frog","training","1","c(6, 0, 0)","fruits","mammals","clothes","melon","cow","dress","melon","melon","item_l","fruits",1,NA,NA,NA,NA,NA
"79","180918_3","4","distribution_kids_simple",4,"Frog","training","2","c(6, 0, 0)","fruits","mammals","clothes","cherry","elephant","shoe","cherry","cherry","item_l","fruits",1,NA,NA,NA,NA,NA
"80","180918_3","4","distribution_kids_simple",4,"Frog","training","3","c(6, 0, 0)","fruits","mammals","clothes","hat","banana","bear","banana","banana","item_m","fruits",1,NA,NA,NA,NA,NA
"81","180918_3","4","distribution_kids_simple",4,"Frog","training","4","c(6, 0, 0)","fruits","mammals","clothes","monkey","shirt","orange","orange","orange","item_r","fruits",1,NA,NA,NA,NA,NA
"82","180918_3","4","distribution_kids_simple",4,"Frog","training","5","c(6, 0, 0)","fruits","mammals","clothes","apple","skirt","cat","apple","apple","item_l","fruits",1,NA,NA,NA,NA,NA
"83","180918_3","4","distribution_kids_simple",4,"Frog","training","6","c(6, 0, 0)","fruits","mammals","clothes","jacket","pineapple","dog","pineapple","pineapple","item_m","fruits",1,NA,NA,NA,NA,NA
"84","180918_3","4","distribution_kids_simple",4,"Frog","test","choice","c(6, 0, 0)","fruits","mammals","clothes","horse","strawberry","sock",NA,"strawberry","item_m","fruits",NA,1,0,0,"fruits",1
"85","180921_1","2","distribution_kids_simple",1,"Frog","training","1","c(6, 0, 0)","vehicles","clothes","fruits","strawberry","hat","boat","boat","boat","item_r","vehicles",1,NA,NA,NA,NA,NA
"86","180921_1","2","distribution_kids_simple",1,"Frog","training","2","c(6, 0, 0)","vehicles","clothes","fruits","car","cherry","sock","car","car","item_l","vehicles",1,NA,NA,NA,NA,NA
"87","180921_1","2","distribution_kids_simple",1,"Frog","training","3","c(6, 0, 0)","vehicles","clothes","fruits","dress","melon","airplane","airplane","airplane","item_r","vehicles",1,NA,NA,NA,NA,NA
"88","180921_1","2","distribution_kids_simple",1,"Frog","training","4","c(6, 0, 0)","vehicles","clothes","fruits","pineapple","motorbike","jacket","motorbike","motorbike","item_m","vehicles",1,NA,NA,NA,NA,NA
"89","180921_1","2","distribution_kids_simple",1,"Frog","training","5","c(6, 0, 0)","vehicles","clothes","fruits","train","banana","shirt","train","train","item_l","vehicles",1,NA,NA,NA,NA,NA
"90","180921_1","2","distribution_kids_simple",1,"Frog","training","6","c(6, 0, 0)","vehicles","clothes","fruits","orange","skirt","truck","truck","truck","item_r","vehicles",1,NA,NA,NA,NA,NA
"91","180921_1","2","distribution_kids_simple",1,"Frog","test","choice","c(6, 0, 0)","vehicles","clothes","fruits","shoe","bus","apple",NA,"shoe","item_l","clothes",NA,0,1,0,"vehicles",0
"92","180921_1","2","distribution_kids_simple",2,"Beaver","training","1","c(6, 0, 0)","clothes","fruits","mammals","bear","banana","shoe","shoe","shoe","item_r","clothes",1,NA,NA,NA,NA,NA
"93","180921_1","2","distribution_kids_simple",2,"Beaver","training","2","c(6, 0, 0)","clothes","fruits","mammals","cow","sock","pineapple","sock","sock","item_m","clothes",1,NA,NA,NA,NA,NA
"94","180921_1","2","distribution_kids_simple",2,"Beaver","training","3","c(6, 0, 0)","clothes","fruits","mammals","elephant","hat","orange","hat","hat","item_m","clothes",1,NA,NA,NA,NA,NA
"95","180921_1","2","distribution_kids_simple",2,"Beaver","training","4","c(6, 0, 0)","clothes","fruits","mammals","dog","strawberry","shirt","shirt","shirt","item_r","clothes",1,NA,NA,NA,NA,NA
"96","180921_1","2","distribution_kids_simple",2,"Beaver","training","5","c(6, 0, 0)","clothes","fruits","mammals","dress","cherry","cat","dress","dress","item_l","clothes",1,NA,NA,NA,NA,NA
"97","180921_1","2","distribution_kids_simple",2,"Beaver","training","6","c(6, 0, 0)","clothes","fruits","mammals","apple","skirt","monkey","skirt","skirt","item_m","clothes",1,NA,NA,NA,NA,NA
"98","180921_1","2","distribution_kids_simple",2,"Beaver","test","choice","c(6, 0, 0)","clothes","fruits","mammals","horse","melon","jacket",NA,"horse","item_l","mammals",NA,0,0,1,"clothes",0
"99","180921_1","2","distribution_kids_simple",3,"Mouse","training","1","c(6, 0, 0)","fruits","mammals","vehicles","bear","airplane","pineapple","pineapple","pineapple","item_r","fruits",1,NA,NA,NA,NA,NA
"100","180921_1","2","distribution_kids_simple",3,"Mouse","training","2","c(6, 0, 0)","fruits","mammals","vehicles","motorbike","melon","dog","melon","melon","item_m","fruits",1,NA,NA,NA,NA,NA
"101","180921_1","2","distribution_kids_simple",3,"Mouse","training","3","c(6, 0, 0)","fruits","mammals","vehicles","bus","strawberry","cat","strawberry","strawberry","item_m","fruits",1,NA,NA,NA,NA,NA
"102","180921_1","2","distribution_kids_simple",3,"Mouse","training","4","c(6, 0, 0)","fruits","mammals","vehicles","truck","horse","banana","banana","banana","item_r","fruits",1,NA,NA,NA,NA,NA
"103","180921_1","2","distribution_kids_simple",3,"Mouse","training","5","c(6, 0, 0)","fruits","mammals","vehicles","apple","elephant","car","apple","apple","item_l","fruits",1,NA,NA,NA,NA,NA
"104","180921_1","2","distribution_kids_simple",3,"Mouse","training","6","c(6, 0, 0)","fruits","mammals","vehicles","boat","orange","cow","orange","orange","item_m","fruits",1,NA,NA,NA,NA,NA
"105","180921_1","2","distribution_kids_simple",3,"Mouse","test","choice","c(6, 0, 0)","fruits","mammals","vehicles","train","cherry","monkey",NA,"cherry","item_m","fruits",NA,1,0,0,"fruits",1
"106","180921_1","2","distribution_kids_simple",4,"Sheep","training","1","c(6, 0, 0)","mammals","vehicles","clothes","cow","hat","boat","cow","cow","item_l","mammals",1,NA,NA,NA,NA,NA
"107","180921_1","2","distribution_kids_simple",4,"Sheep","training","2","c(6, 0, 0)","mammals","vehicles","clothes","motorbike","skirt","dog","dog","dog","item_r","mammals",1,NA,NA,NA,NA,NA
"108","180921_1","2","distribution_kids_simple",4,"Sheep","training","3","c(6, 0, 0)","mammals","vehicles","clothes","shirt","cat","car","cat","cat","item_m","mammals",1,NA,NA,NA,NA,NA
"109","180921_1","2","distribution_kids_simple",4,"Sheep","training","4","c(6, 0, 0)","mammals","vehicles","clothes","bus","dress","elephant","elephant","elephant","item_r","mammals",1,NA,NA,NA,NA,NA
"110","180921_1","2","distribution_kids_simple",4,"Sheep","training","5","c(6, 0, 0)","mammals","vehicles","clothes","horse","train","sock","horse","horse","item_l","mammals",1,NA,NA,NA,NA,NA
"111","180921_1","2","distribution_kids_simple",4,"Sheep","training","6","c(6, 0, 0)","mammals","vehicles","clothes","bear","jacket","airplane","bear","bear","item_l","mammals",1,NA,NA,NA,NA,NA
"112","180921_1","2","distribution_kids_simple",4,"Sheep","test","choice","c(6, 0, 0)","mammals","vehicles","clothes","truck","shoe","monkey",NA,"truck","item_l","vehicles",NA,0,1,0,"mammals",0
"113","180921_2","3","distribution_kids_simple",1,"Tiger","training","1","c(6, 0, 0)","clothes","fruits","vehicles","pineapple","skirt","truck","skirt","skirt","item_m","clothes",1,NA,NA,NA,NA,NA
"114","180921_2","3","distribution_kids_simple",1,"Tiger","training","2","c(6, 0, 0)","clothes","fruits","vehicles","strawberry","motorbike","shoe","shoe","shoe","item_r","clothes",1,NA,NA,NA,NA,NA
"115","180921_2","3","distribution_kids_simple",1,"Tiger","training","3","c(6, 0, 0)","clothes","fruits","vehicles","banana","car","jacket","jacket","jacket","item_r","clothes",1,NA,NA,NA,NA,NA
"116","180921_2","3","distribution_kids_simple",1,"Tiger","training","4","c(6, 0, 0)","clothes","fruits","vehicles","apple","hat","bus","hat","hat","item_m","clothes",1,NA,NA,NA,NA,NA
"117","180921_2","3","distribution_kids_simple",1,"Tiger","training","5","c(6, 0, 0)","clothes","fruits","vehicles","boat","dress","orange","dress","dress","item_m","clothes",1,NA,NA,NA,NA,NA
"118","180921_2","3","distribution_kids_simple",1,"Tiger","training","6","c(6, 0, 0)","clothes","fruits","vehicles","sock","cherry","airplane","sock","sock","item_l","clothes",1,NA,NA,NA,NA,NA
"119","180921_2","3","distribution_kids_simple",1,"Tiger","test","choice","c(6, 0, 0)","clothes","fruits","vehicles","shirt","melon","train",NA,"melon","item_m","fruits",NA,0,1,0,"clothes",0
"120","180921_2","3","distribution_kids_simple",2,"Bunny","training","1","c(6, 0, 0)","fruits","vehicles","mammals","cherry","boat","monkey","cherry","cherry","item_l","fruits",1,NA,NA,NA,NA,NA
"121","180921_2","3","distribution_kids_simple",2,"Bunny","training","2","c(6, 0, 0)","fruits","vehicles","mammals","banana","motorbike","cat","banana","banana","item_l","fruits",1,NA,NA,NA,NA,NA
"122","180921_2","3","distribution_kids_simple",2,"Bunny","training","3","c(6, 0, 0)","fruits","vehicles","mammals","elephant","melon","airplane","melon","melon","item_m","fruits",1,NA,NA,NA,NA,NA
"123","180921_2","3","distribution_kids_simple",2,"Bunny","training","4","c(6, 0, 0)","fruits","vehicles","mammals","truck","horse","orange","orange","orange","item_r","fruits",1,NA,NA,NA,NA,NA
"124","180921_2","3","distribution_kids_simple",2,"Bunny","training","5","c(6, 0, 0)","fruits","vehicles","mammals","cow","train","apple","apple","apple","item_r","fruits",1,NA,NA,NA,NA,NA
"125","180921_2","3","distribution_kids_simple",2,"Bunny","training","6","c(6, 0, 0)","fruits","vehicles","mammals","car","pineapple","dog","pineapple","pineapple","item_m","fruits",1,NA,NA,NA,NA,NA
"126","180921_2","3","distribution_kids_simple",2,"Bunny","test","choice","c(6, 0, 0)","fruits","vehicles","mammals","bear","bus","strawberry",NA,"strawberry","item_r","fruits",NA,1,0,0,"fruits",1
"127","180921_2","3","distribution_kids_simple",3,"Frog","training","1","c(6, 0, 0)","vehicles","mammals","clothes","airplane","shirt","elephant","airplane","airplane","item_l","vehicles",1,NA,NA,NA,NA,NA
"128","180921_2","3","distribution_kids_simple",3,"Frog","training","2","c(6, 0, 0)","vehicles","mammals","clothes","train","monkey","shoe","train","train","item_l","vehicles",1,NA,NA,NA,NA,NA
"129","180921_2","3","distribution_kids_simple",3,"Frog","training","3","c(6, 0, 0)","vehicles","mammals","clothes","skirt","motorbike","bear","motorbike","motorbike","item_m","vehicles",1,NA,NA,NA,NA,NA
"130","180921_2","3","distribution_kids_simple",3,"Frog","training","4","c(6, 0, 0)","vehicles","mammals","clothes","truck","hat","dog","truck","truck","item_l","vehicles",1,NA,NA,NA,NA,NA
"131","180921_2","3","distribution_kids_simple",3,"Frog","training","5","c(6, 0, 0)","vehicles","mammals","clothes","boat","cat","sock","boat","boat","item_l","vehicles",1,NA,NA,NA,NA,NA
"132","180921_2","3","distribution_kids_simple",3,"Frog","training","6","c(6, 0, 0)","vehicles","mammals","clothes","bus","cow","dress","bus","bus","item_l","vehicles",1,NA,NA,NA,NA,NA
"133","180921_2","3","distribution_kids_simple",3,"Frog","test","choice","c(6, 0, 0)","vehicles","mammals","clothes","horse","car","jacket",NA,"car","item_m","vehicles",NA,1,0,0,"vehicles",1
"134","180921_2","3","distribution_kids_simple",4,"Sheep","training","1","c(6, 0, 0)","mammals","clothes","fruits","bear","shirt","strawberry","bear","bear","item_l","mammals",1,NA,NA,NA,NA,NA
"135","180921_2","3","distribution_kids_simple",4,"Sheep","training","2","c(6, 0, 0)","mammals","clothes","fruits","melon","dress","elephant","elephant","elephant","item_r","mammals",1,NA,NA,NA,NA,NA
"136","180921_2","3","distribution_kids_simple",4,"Sheep","training","3","c(6, 0, 0)","mammals","clothes","fruits","sock","cherry","cow","cow","cow","item_r","mammals",1,NA,NA,NA,NA,NA
"137","180921_2","3","distribution_kids_simple",4,"Sheep","training","4","c(6, 0, 0)","mammals","clothes","fruits","cat","hat","pineapple","cat","cat","item_l","mammals",1,NA,NA,NA,NA,NA
"138","180921_2","3","distribution_kids_simple",4,"Sheep","training","5","c(6, 0, 0)","mammals","clothes","fruits","banana","jacket","monkey","monkey","monkey","item_r","mammals",1,NA,NA,NA,NA,NA
"139","180921_2","3","distribution_kids_simple",4,"Sheep","training","6","c(6, 0, 0)","mammals","clothes","fruits","horse","skirt","orange","horse","horse","item_l","mammals",1,NA,NA,NA,NA,NA
"140","180921_2","3","distribution_kids_simple",4,"Sheep","test","choice","c(6, 0, 0)","mammals","clothes","fruits","dog","apple","shoe",NA,"dog","item_l","mammals",NA,1,0,0,"mammals",1
"141","test","test","distribution_kids_simple",1,"Frog","training","1","c(6, 0, 0)","fruits","vehicles","mammals","train","monkey","strawberry","strawberry","strawberry","item_r","fruits",1,NA,NA,NA,NA,NA
